S.n,Product Name,Price,Discount,Discount Price,Retail Price,Brand,Image,Category,Review Rating
39,Apple iPhone 14 Pro Max,499999,8,39999.92,539998.92,apple,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.2
40,Apple iPhone 14,399999,6,23999.94,423998.94,apple,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.6
41,Apple iPhone 13,334999,6,20099.94,355098.94,apple,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.5
42,Apple iPhone 15 Plus,429999,6,25799.94,455798.94,apple,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.1
43,Apple iPhone 15,379999,6,22799.94,402798.94,apple,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.7
44,Apple iPhone 12 Mini,157399,6,9443.94,166842.94,apple,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.6
45,Apple iPhone 12 Pro,220899,6,13253.94,234152.94,apple,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,2.9
46,Apple iPhone 12,175599,6,10535.94,186134.94,apple,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,2.9
47,Apple iPhone 12 Pro Max,235999,6,14159.94,250158.94,apple,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.5
48,Apple iPhone 7 Plus,80000,6,4800,84800,apple,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,2.7
49,Apple iPhone XS Max,167499,6,10049.94,177548.94,apple,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.6
50,Apple iPhone 6s Plus,38799,6,2327.94,41126.94,apple,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.7
51,Apple iPhone 13 Pro,342000,6,20520,362520,apple,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.7
52,Apple iPhone 13 Mini,223400,6,13404,236804,apple,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,2.6
53,Apple iPhone XR,151799,6,9107.94,160906.94,apple,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.9
54,Apple iPhone 7,64299,6,3857.94,68156.94,apple,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.2
55,Apple iPhone 13 Pro Max,369600,6,22176,391776,apple,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3
56,Apple iPhone 11 Pro Max,226600,6,13596,240196,apple,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.7
57,Apple iPhone SE 2020,92499,6,5549.94,98048.94,apple,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.4
58,Apple iPhone 11 Pro,207800,6,12468,220268,apple,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.2
59,Apple iPhone 8 Plus,123299,6,7397.94,130696.94,apple,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.6
60,Apple iPhone 6,43999,6,2639.94,46638.94,apple,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4
61,Apple iPhone SE 2022,97999,6,5879.94,103878.94,apple,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.7
62,Apple iPhone X,141999,6,8519.94,150518.94,apple,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.8
63,Apple iPhone 6s,77599,6,4655.94,82254.94,apple,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,2.7
64,Apple iPhone SE,31500,6,1890,33390,apple,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.8
65,Apple iPhone 5,25799,6,1547.94,27346.94,apple,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.8
66,Apple iPhone 6 Plus,42999,6,2579.94,45578.94,apple,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.7
67,Apple iPhone 5s,25799,6,1547.94,27346.94,apple,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.4
68,Infinix Smart 8 Plus,24599,5,1229.95,25828.95,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.9
69,Infinix Hot 40,38299,7,2680.93,40979.93,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.4
70,Infinix Hot 30 Play,27349,9,2461.41,29810.41,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.2
71,Infinix Hot 40i,34099,5,1704.95,35803.95,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,2.9
72,Infinix Hot 30,32499,19,6174.81,38673.81,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,2.9
73,Infinix Note 30 Pro,58299,7,4080.93,62379.93,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,2.7
74,Infinix Zero 30 4G,63499,1,634.99,64133.99,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.5
75,Infinix Smart 6,29299,5,1464.95,30763.95,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,2.7
76,Infinix Note 30,38999,13,5069.87,44068.87,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.2
77,Infinix Smart 7 HD,19399,12,2327.88,21726.88,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.3
78,Infinix Hot 12i,34299,18,6173.82,40472.82,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.7
79,Infinix Hot 11 Play,28999,28,8119.72,37118.72,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,2.6
80,Infinix Hot 40 Pro,45999,28,12879.72,58878.72,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.3
81,Infinix Hot 12,32999,28,9239.72,42238.72,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,2.6
82,Infinix Hot 12 Play,31999,28,8959.72,40958.72,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4
83,Infinix Smart 6 HD,22499,28,6299.72,28798.72,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.1
84,Infinix Zero 20,79999,28,22399.72,102398.72,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.4
85,Infinix Hot 20i,32799,28,9183.72,41982.72,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.5
86,Infinix Smart 7,24599,28,6887.72,31486.72,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.7
87,Infinix Zero 30 5G,99999,28,27999.72,127998.72,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.7
88,Infinix Note 12 G88,38999,28,10919.72,49918.72,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.5
89,Infinix Note 12 G96,45499,28,12739.72,58238.72,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.6
90,Infinix Smart 8,22499,28,6299.72,28798.72,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,2.9
91,Infinix Hot 30i,27799,28,7783.72,35582.72,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.6
92,Infinix Note 30 VIP,97999,28,27439.72,125438.72,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.4
93,Infinix Note 30i,59999,28,16799.72,76798.72,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.5
94,Infinix Note 30 5G,74999,28,20999.72,95998.72,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.6
95,Infinix Note 12 Pro,44999,28,12599.72,57598.72,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.8
96,Infinix Hot 20s,45999,28,12879.72,58878.72,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.6
97,Infinix Note 10 Pro,33999,28,9519.72,43518.72,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.8
98,Infinix Note 10,26099,28,7307.72,33406.72,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,2.6
99,Infinix Hot 11S,21899,28,6131.72,28030.72,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.7
100,Infinix Note 11,28199,28,7895.72,36094.72,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,2.7
101,Infinix Note 12 VIP,89999,28,25199.72,115198.72,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.6
102,Itel S23 4G,26349,15,3952.35,30301.35,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.8
103,itel P17 Pro,16249,32,5199.68,21448.68,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4
104,Itel A05s,18699,7,1308.93,20007.93,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.4
105,Itel A27,15399,7,1077.93,16476.93,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.6
106,itel A17,10999,35,3849.65,14848.65,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.7
107,itel Muzik 400,3899,3,116.97,4015.97,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.1
108,Itel A60s,20999,9,1889.91,22888.91,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.4
109,Itel Super Guru 600,4349,3,130.47,4479.47,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,2.6
110,itel Value 100s,4049,3,121.47,4170.47,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4
111,itel Value 100,2899,3,86.97,2985.97,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,5
112,Itel it2166,2649,3,79.47,2728.47,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.3
113,Itel P40 4G,20199,16,3231.84,23430.84,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.1
114,Itel Muzik 430,3649,4,145.96,3794.96,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.7
115,Itel Magic 4,5999,4,239.96,6238.96,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.8
116,itel A23 Pro,13999,22,3079.78,17078.78,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.4
117,itel Muzik 410 Pro,4299,22,945.78,5244.78,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.6
118,Itel A49 Play,16499,22,3629.78,20128.78,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.8
119,Itel Magic 3 Titan,5499,22,1209.78,6708.78,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.3
120,E-Tachi B222 lite,2999,22,659.78,3658.78,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4
121,Itel Vision 3,16999,22,3739.78,20738.78,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.2
122,itel It9010 4G,4499,22,989.78,5488.78,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.8
123,Itel It2176,2699,22,593.78,3292.78,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.1
124,Itel Magic 3,5499,22,1209.78,6708.78,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.1
125,Itel A49,17499,22,3849.78,21348.78,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.6
126,itel Vision 1 Pro,16249,22,3574.78,19823.78,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.9
127,itel Power 410,3199,22,703.78,3902.78,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.8
128,itel Value 110s,3399,22,747.78,4146.78,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.7
129,itel Value 110,2899,22,637.78,3536.78,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.2
130,Itel 5026,5249,22,1154.78,6403.78,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.7
131,itel Muzik 400 Core,3650,22,803,4453,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.9
132,Itel A26,15699,22,3453.78,19152.78,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.7
133,Itel it5029,3899,22,857.78,4756.78,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,2.5
134,Itel Vision 2 Pro,19999,22,4399.78,24398.78,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.9
135,itel A47,14999,22,3299.78,18298.78,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.1
136,Nokia C21,14899,7,1042.93,15941.93,nokia,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.3
137,Nokia 110 (2019),7499,7,524.93,8023.93,nokia,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.7
138,Nokia 2660 Flip,15899,12,1907.88,17806.88,nokia,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.4
139,Nokia 5710,17899,11,1968.89,19867.89,nokia,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.8
140,Nokia G21,29499,8,2359.92,31858.92,nokia,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.9
141,Nokia 105 2022,6199,8,495.92,6694.92,nokia,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.9
142,Nokia 130,8499,8,679.92,9178.92,nokia,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.1
143,Nokia 105 Plus,5499,15,824.85,6323.85,nokia,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,2.7
144,Nokia 106 (2018),5499,12,659.88,6158.88,nokia,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.2
145,Nokia C31,23999,14,3359.86,27358.86,nokia,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.5
146,Nokia 105,5249,15,787.35,6036.35,nokia,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4
147,Nokia 110 2022,7999,12,959.88,8958.88,nokia,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.5
148,Nokia 150 (2020),9499,12,1139.88,10638.88,nokia,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,2.6
149,Nokia 110 4G,5999,12,719.88,6718.88,nokia,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.2
150,Nokia 100,7000,8,560,7560,nokia,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.9
151,Nokia X20,67999,12,8159.88,76158.88,nokia,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.5
152,Nokia G11 Plus,49999,11,5499.89,55498.89,nokia,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.3
153,Nokia 105 2023,5999,11,659.89,6658.89,nokia,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.2
154,Nokia 110 4g 2023,10999,12,1319.88,12318.88,nokia,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.6
155,Nokia Style Plus,54999,21,11549.79,66548.79,nokia,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.3
156,Nokia G400,54999,11,6049.89,61048.89,nokia,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4
157,Nokia 8210 4G,14999,15,2249.85,17248.85,nokia,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3
158,Nokia XR21,139499,11,15344.89,154843.89,nokia,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.1
159,Nokia G300,33999,12,4079.88,38078.88,nokia,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.8
160,Nokia X30,38572,12,4628.64,43200.64,nokia,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.6
161,Nokia G60,78999,11,8689.89,87688.89,nokia,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3
162,Nokia 130 (2023),4999,2,99.98,5098.98,nokia,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3
163,Nokia 3310 (2017),8199,1,81.99,8280.99,nokia,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.4
164,Nokia 225 4G,6099,1,60.99,6159.99,nokia,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,2.6
165,Nokia 2.4,13999,22,3079.78,17078.78,nokia,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,2.8
166,Nokia G10,19799,11,2177.89,21976.89,nokia,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4
167,Nokia 105 4G,4699,12,563.88,5262.88,nokia,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4
168,Nokia 5.4,31999,11,3519.89,35518.89,nokia,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3
169,Nokia 210,6099,11,670.89,6769.89,nokia,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.3
170,Oppo A58,52999,7,3709.93,56708.93,oppo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,2.6
171,Oppo A78,66799,7,4675.93,71474.93,oppo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.6
172,Oppo A17,35799,3,1073.97,36872.97,oppo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.9
173,Oppo A16e,38749,21,8137.29,46886.29,oppo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.4
174,Oppo A76,66999,21,14069.79,81068.79,oppo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.5
175,Oppo A54,59499,21,12494.79,71993.79,oppo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,2.8
176,Oppo A57,43299,21,9092.79,52391.79,oppo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,2.7
177,Oppo A16,24499,21,5144.79,29643.79,oppo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.7
178,Oppo A16K,39999,21,8399.79,48398.79,oppo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.3
179,Oppo F21 Pro 5G,139999,21,29399.79,169398.79,oppo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.9
180,Oppo F21 Pro,118299,21,24842.79,143141.79,oppo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.3
181,Oppo A77s,74999,21,15749.79,90748.79,oppo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.7
182,Oppo A18,58999,21,12389.79,71388.79,oppo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,2.8
183,Oppo A38,52999,21,11129.79,64128.79,oppo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.6
184,Oppo A57s,44999,21,9449.79,54448.79,oppo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3
185,Oppo Reno 10,154999,21,32549.79,187548.79,oppo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.5
186,Oppo F21s Pro,69999,21,14699.79,84698.79,oppo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,2.9
187,Oppo A56s,59999,21,12599.79,72598.79,oppo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.3
188,Oppo Reno 10 Pro Plus,204999,21,43049.79,248048.79,oppo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.1
189,Oppo A97,69999,21,14699.79,84698.79,oppo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.4
190,Oppo A1 Pro,59999,21,12599.79,72598.79,oppo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3
191,Oppo Reno8T 5G,84999,21,17849.79,102848.79,oppo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.9
192,Oppo A96,91499,21,19214.79,110713.79,oppo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,2.9
193,Oppo F17,37200,21,7812,45012,oppo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3
194,Oppo Reno 6 Pro 5G,109499,21,22994.79,132493.79,oppo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.1
195,Oppo A53,26399,21,5543.79,31942.79,oppo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.3
196,Oppo F17 Pro,41100,21,8631,49731,oppo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.9
197,Oppo F19 Pro,48000,21,10080,58080,oppo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.2
198,Oppo A7,27700,21,5817,33517,oppo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.8
199,Oppo F11,35300,21,7413,42713,oppo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.8
200,Oppo F19,34600,21,7266,41866,oppo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.3
201,Oppo A31,22699,21,4766.79,27465.79,oppo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.3
202,Oppo A11k,17999,21,3779.79,21778.79,oppo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,2.7
203,Oppo Reno 2F,44699,21,9386.79,54085.79,oppo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.2
204,Realme Narzo 50A Prime,26699,30,8009.7,34708.7,realme,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4
205,Realme Narzo 50,34999,22,7699.78,42698.78,realme,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3
206,Realme C53,39999,2,799.98,40798.98,realme,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.2
207,Realme C51,25699,8,2055.92,27754.92,realme,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,2.9
208,Realme C25Y,37699,25,9424.75,47123.75,realme,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.1
209,Realme C11 2021,35599,11,3915.89,39514.89,realme,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.2
210,Realme C30,21999,8,1759.92,23758.92,realme,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3
211,Realme 9i,77499,3,2324.97,79823.97,realme,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.2
212,Realme 9 Pro Plus,95999,9,8639.91,104638.91,realme,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.2
213,Realme C33,39999,9,3599.91,43598.91,realme,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.4
214,Realme C21,33499,9,3014.91,36513.91,realme,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.2
215,Realme C21Y,33299,9,2996.91,36295.91,realme,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,2.8
216,Realme 9 4G,97299,9,8756.91,106055.91,realme,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.7
217,Realme C35,31999,9,2879.91,34878.91,realme,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.5
218,Realme Narzo 50i,28999,9,2609.91,31608.91,realme,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,2.9
219,Realme C25s,40600,9,3654,44254,realme,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3
